SUB#1 OK: 82/99 reachable, kept 5 (top_n=5): https://cc20i5h7zc50yf204nto2kaw6dw6pn7l.pages.dev/sub?token=860ca388e2deec1ac98301ff0a4311e6
SUB#2 OK: 81/99 reachable, kept 5 (top_n=5): https://j4mr-d9oj1at9i-8kuayba9kocwx7uzn.pages.dev/sub?token=a739ad9baeaf745fb150460d3d0ae437
SUB#3 OK: 80/99 reachable, kept 5 (top_n=5): https://ns4t32a2zc38o0on-ghqgwsswrh4mqda.pages.dev/sub?token=8d0df1ebf7eac865ac73ec6625517caf
SUB#4 OK: 68/99 reachable, kept 5 (top_n=5): https://f2vgbo9r0alvijz562r7q7squz57xutf.pages.dev/sub?token=1198218197ee64985522675daf3735e9
SUB#5 OK: 81/99 reachable, kept 5 (top_n=5): https://sfsmzggh4hyy2i-0oy5s5dtmkjv2nam6.pages.dev/sub?token=af4dbac83877ac9ac529abe8e22b0bff
SUB#6 DROPPED (fetch failed or no configs found): https://9wz2kxa4jttc4coawn5q6bh8w8prdfy2.4fw.workers.dev/sub?token=cdff20437ba7e7962720c22e576c5328
SUB#7 OK: 83/99 reachable, kept 5 (top_n=5): https://vf3uymn6bu20313tqlfvws58mnqrhxxi.pages.dev/sub?token=c1d3ac7b0c64d23aa3e0d1e26f83bc00
SUB#8 OK: 83/99 reachable, kept 5 (top_n=5): https://mohammad38526.pages.dev/sub?token=6e81357c6086665250585fd54f3dfcff
SUB#9 OK: 77/99 reachable, kept 5 (top_n=5): https://hdradfjhtgfdjsrt.pages.dev/sub?token=c924c9ffc95cdd965c3b522052e0095d
SUB#10 OK: 86/99 reachable, kept 5 (top_n=5): https://ahmad99hoseini.pages.dev/sub?token=4d965d2b5f02ed28e4838c1c7488017b
SUB#11 OK: 79/99 reachable, kept 5 (top_n=5): https://alireza48596.pages.dev/sub?token=c32a4f77171575b6d28499b21e13f3c8
SUB#12 OK: 83/99 reachable, kept 5 (top_n=5): https://alphefedo7865.pages.dev/sub?token=135a5afdd6369eae37393e34aaa0a4ea
SUB#13 OK: 82/99 reachable, kept 5 (top_n=5): https://mohammadhoseini4532.pages.dev/sub?token=f947737fcd8cea37c1e4f2ade4eead73
SUB#14 OK: 82/99 reachable, kept 5 (top_n=5): https://pilot4f8f.pages.dev/sub?token=806601af7ac43d3f2dfa9386ce083cb0
SUB#15 OK: 80/99 reachable, kept 5 (top_n=5): https://rezanoori4295.pages.dev/sub?token=b726fb6d32508b0b26d3956bc6164f4f

Iran reachability (check-host.net): blocked=9, flaky=1, pass=263
  104.16.144.211: pass [solid] (~86ms avg from Iran)
  104.16.147.151: pass [solid] (~80ms avg from Iran)
  104.16.150.230: pass [solid] (~87ms avg from Iran)
  104.16.152.65: pass [solid] (~84ms avg from Iran)
  104.16.154.206: pass [solid] (~82ms avg from Iran)
  104.16.155.225: pass [solid] (~82ms avg from Iran)
  104.16.156.161: pass [solid] (~84ms avg from Iran)
  104.16.156.218: pass [solid] (~81ms avg from Iran)
  104.16.157.144: pass [solid] (~81ms avg from Iran)
  104.16.158.123: pass [solid] (~86ms avg from Iran)
  104.16.159.16: pass [solid] (~86ms avg from Iran)
  104.16.159.184: pass [solid] (~83ms avg from Iran)
  104.16.159.69: pass [solid] (~83ms avg from Iran)
  104.16.240.115: pass [solid] (~84ms avg from Iran)
  104.16.240.126: pass [solid] (~81ms avg from Iran)
  104.16.243.231: pass [solid] (~84ms avg from Iran)
  104.16.245.223: pass [solid] (~81ms avg from Iran)
  104.16.245.73: pass [solid] (~82ms avg from Iran)
  104.16.246.99: pass [solid] (~87ms avg from Iran)
  104.16.249.254: pass [solid] (~82ms avg from Iran)
  104.16.250.61: pass [solid] (~80ms avg from Iran)
  104.16.250.72: pass [solid] (~87ms avg from Iran)
  104.17.102.107: pass [solid] (~80ms avg from Iran)
  104.17.103.36: pass [solid] (~82ms avg from Iran)
  104.17.104.38: pass [solid] (~83ms avg from Iran)
  104.17.105.195: pass [solid] (~80ms avg from Iran)
  104.17.105.200: pass [solid] (~80ms avg from Iran)
  104.17.106.248: pass [solid] (~80ms avg from Iran)
  104.17.106.80: pass [solid] (~82ms avg from Iran)
  104.17.107.52: pass [solid] (~86ms avg from Iran)
  104.17.112.16: pass [solid] (~84ms avg from Iran)
  104.17.112.172: pass [solid] (~82ms avg from Iran)
  104.17.113.217: pass [solid] (~85ms avg from Iran)
  104.17.113.222: pass [solid] (~83ms avg from Iran)
  104.17.116.146: pass [solid] (~83ms avg from Iran)
  104.17.119.190: pass [solid] (~84ms avg from Iran)
  104.17.120.86: pass [solid] (~85ms avg from Iran)
  104.17.122.21: pass [solid] (~86ms avg from Iran)
  104.17.124.93: pass [solid] (~83ms avg from Iran)
  104.17.125.245: pass [solid] (~83ms avg from Iran)
  104.17.126.107: pass [solid] (~80ms avg from Iran)
  104.17.126.251: pass [solid] (~88ms avg from Iran)
  104.17.144.221: pass [solid] (~87ms avg from Iran)
  104.17.145.100: pass [solid] (~83ms avg from Iran)
  104.17.146.197: pass [solid] (~79ms avg from Iran)
  104.17.146.86: pass [solid] (~83ms avg from Iran)
  104.17.147.53: pass [solid] (~85ms avg from Iran)
  104.17.149.29: pass [solid] (~86ms avg from Iran)
  104.17.150.184: pass [solid] (~84ms avg from Iran)
  104.17.150.53: pass [solid] (~79ms avg from Iran)
  104.17.151.72: pass [solid] (~85ms avg from Iran)
  104.17.153.126: pass [solid] (~81ms avg from Iran)
  104.17.153.73: pass [solid] (~82ms avg from Iran)
  104.17.155.240: pass [solid] (~83ms avg from Iran)
  104.17.156.191: pass [solid] (~82ms avg from Iran)
  104.17.158.86: pass [solid] (~83ms avg from Iran)
  104.17.16.103: pass [solid] (~81ms avg from Iran)
  104.17.16.94: pass [solid] (~79ms avg from Iran)
  104.17.162.7: pass [solid] (~82ms avg from Iran)
  104.17.162.70: pass [solid] (~81ms avg from Iran)
  104.17.164.164: pass [solid] (~81ms avg from Iran)
  104.17.165.19: pass [solid] (~82ms avg from Iran)
  104.17.165.243: pass [solid] (~80ms avg from Iran)
  104.17.165.36: pass [solid] (~77ms avg from Iran)
  104.17.166.245: pass [solid] (~82ms avg from Iran)
  104.17.166.35: pass [solid] (~83ms avg from Iran)
  104.17.167.60: pass [solid] (~86ms avg from Iran)
  104.17.168.217: pass [solid] (~81ms avg from Iran)
  104.17.169.48: pass [solid] (~82ms avg from Iran)
  104.17.17.223: pass [solid] (~80ms avg from Iran)
  104.17.171.56: pass [solid] (~86ms avg from Iran)
  104.17.173.89: pass [solid] (~84ms avg from Iran)
  104.17.174.147: pass [solid] (~83ms avg from Iran)
  104.17.175.39: pass [solid] (~83ms avg from Iran)
  104.17.175.42: pass [solid] (~84ms avg from Iran)
  104.17.176.241: pass [solid] (~85ms avg from Iran)
  104.17.177.97: pass [solid] (~79ms avg from Iran)
  104.17.179.253: pass [solid] (~84ms avg from Iran)
  104.17.180.239: pass [solid] (~81ms avg from Iran)
  104.17.184.152: pass [solid] (~80ms avg from Iran)
  104.17.184.34: pass [solid] (~86ms avg from Iran)
  104.17.186.252: pass [solid] (~84ms avg from Iran)
  104.17.187.255: pass [solid] (~82ms avg from Iran)
  104.17.188.128: pass [solid] (~81ms avg from Iran)
  104.17.19.38: pass [solid] (~87ms avg from Iran)
  104.17.20.158: pass [solid] (~84ms avg from Iran)
  104.17.208.222: pass [solid] (~85ms avg from Iran)
  104.17.210.179: pass [solid] (~83ms avg from Iran)
  104.17.212.3: pass [solid] (~84ms avg from Iran)
  104.17.213.132: pass [solid] (~81ms avg from Iran)
  104.17.215.94: pass [solid] (~81ms avg from Iran)
  104.17.216.96: pass [solid] (~83ms avg from Iran)
  104.17.218.122: pass [solid] (~83ms avg from Iran)
  104.17.218.31: pass [solid] (~81ms avg from Iran)
  104.17.220.12: pass [solid] (~87ms avg from Iran)
  104.17.220.135: pass [solid] (~86ms avg from Iran)
  104.17.220.85: pass [solid] (~88ms avg from Iran)
  104.17.221.199: pass [solid] (~83ms avg from Iran)
  104.17.222.160: pass [solid] (~84ms avg from Iran)
  104.17.222.198: pass [solid] (~81ms avg from Iran)
  104.17.222.33: pass [solid] (~86ms avg from Iran)
  104.17.223.201: pass [solid] (~81ms avg from Iran)
  104.17.23.239: pass [solid] (~83ms avg from Iran)
  104.17.23.34: pass [solid] (~82ms avg from Iran)
  104.17.24.140: pass [solid] (~81ms avg from Iran)
  104.17.24.25: pass [solid] (~86ms avg from Iran)
  104.17.25.247: pass [solid] (~86ms avg from Iran)
  104.17.27.130: pass [solid] (~86ms avg from Iran)
  104.17.27.22: pass [solid] (~85ms avg from Iran)
  104.17.28.172: pass [solid] (~81ms avg from Iran)
  104.17.28.58: pass [solid] (~84ms avg from Iran)
  104.17.31.240: pass [solid] (~82ms avg from Iran)
  104.17.49.60: pass [solid] (~82ms avg from Iran)
  104.17.51.217: pass [solid] (~86ms avg from Iran)
  104.17.53.112: pass [solid] (~85ms avg from Iran)
  104.17.53.2: pass [solid] (~85ms avg from Iran)
  104.17.55.157: pass [solid] (~85ms avg from Iran)
  104.17.55.78: pass [solid] (~84ms avg from Iran)
  104.17.56.133: pass [solid] (~84ms avg from Iran)
  104.17.57.43: pass [solid] (~83ms avg from Iran)
  104.17.58.10: pass [solid] (~88ms avg from Iran)
  104.17.58.241: pass [solid] (~78ms avg from Iran)
  104.17.59.146: pass [solid] (~83ms avg from Iran)
  104.17.63.18: pass [solid] (~84ms avg from Iran)
  104.17.96.184: pass [solid] (~85ms avg from Iran)
  104.17.99.2: pass [solid] (~85ms avg from Iran)
  104.17.99.91: pass [solid] (~85ms avg from Iran)
  104.18.33.111: pass [solid] (~85ms avg from Iran)
  104.18.33.116: pass [solid] (~85ms avg from Iran)
  104.18.33.123: pass [solid] (~80ms avg from Iran)
  104.18.33.125: pass [solid] (~86ms avg from Iran)
  104.18.33.146: pass [solid] (~88ms avg from Iran)
  104.18.33.15: pass [solid] (~85ms avg from Iran)
  104.18.33.154: pass [solid] (~84ms avg from Iran)
  104.18.33.160: pass [solid] (~82ms avg from Iran)
  104.18.33.165: pass [solid] (~85ms avg from Iran)
  104.18.33.178: pass [solid] (~87ms avg from Iran)
  104.18.33.191: pass [solid] (~84ms avg from Iran)
  104.18.33.202: pass [solid] (~83ms avg from Iran)
  104.18.33.227: pass [solid] (~82ms avg from Iran)
  104.18.33.235: pass [solid] (~85ms avg from Iran)
  104.18.33.3: pass [solid] (~81ms avg from Iran)
  104.18.33.35: pass [solid] (~81ms avg from Iran)
  104.18.33.4: pass [solid] (~86ms avg from Iran)
  104.18.33.47: pass [solid] (~84ms avg from Iran)
  104.18.33.94: pass [solid] (~83ms avg from Iran)
  104.18.33.98: pass [solid] (~82ms avg from Iran)
  104.19.144.247: pass [solid] (~82ms avg from Iran)
  104.19.145.107: pass [solid] (~83ms avg from Iran)
  104.19.145.225: pass [solid] (~82ms avg from Iran)
  104.19.146.154: pass [solid] (~82ms avg from Iran)
  104.19.146.45: pass [solid] (~82ms avg from Iran)
  104.19.149.71: pass [solid] (~89ms avg from Iran)
  104.19.150.11: pass [solid] (~86ms avg from Iran)
  104.19.151.125: pass [solid] (~86ms avg from Iran)
  104.19.151.233: pass [solid] (~80ms avg from Iran)
  104.19.151.71: pass [solid] (~82ms avg from Iran)
  104.19.32.205: pass [solid] (~83ms avg from Iran)
  104.19.33.10: pass [solid] (~87ms avg from Iran)
  104.19.33.177: pass [solid] (~80ms avg from Iran)
  104.19.33.255: pass [solid] (~81ms avg from Iran)
  104.19.33.58: pass [solid] (~82ms avg from Iran)
  104.19.33.72: pass [solid] (~81ms avg from Iran)
